Detector Type,Descriptor Type,Image,TTC Lidar,TTC Camera,TTC Absolute Difference
SHITOMASI,SIFT,0012.png,9.88711,12.0972,2.21008
SHITOMASI,SIFT,0013.png,9.42504,12.6147,3.18971
SHITOMASI,SIFT,0014.png,9.30215,11.3592,2.05705
SHITOMASI,SIFT,0015.png,8.3212,10.4078,2.08664
SHITOMASI,SIFT,0016.png,8.89867,11.0235,2.12481
SHITOMASI,SIFT,0017.png,11.0301,11.7341,0.703953
SHITOMASI,SIFT,0018.png,8.53557,9.65154,1.11598
HARRIS,BRISK,0001.png,12.2891,10.9082,1.38088
HARRIS,BRISK,0002.png,13.3547,10.586,2.76873
HARRIS,BRISK,0003.png,16.3845,-80.8525,97.237
HARRIS,BRISK,0004.png,14.0764,12.4858,1.59067
HARRIS,BRISK,0005.png,12.7299,13.3698,0.639868
HARRIS,BRISK,0006.png,13.7511,13.6217,0.129369
HARRIS,BRISK,0007.png,13.7314,12.2792,1.4522
HARRIS,BRISK,0008.png,13.7901,10.7335,3.05664
HARRIS,BRISK,0009.png,12.059,0,12.059
HARRIS,BRISK,0010.png,11.8642,-inf,inf
HARRIS,BRISK,0011.png,11.9682,11.7414,0.226767
HARRIS,BRISK,0012.png,9.88711,5.33701,4.5501
HARRIS,BRISK,0013.png,9.42504,13.4095,3.98446
HARRIS,BRISK,0014.png,9.30215,12.4394,3.13721
HARRIS,BRISK,0015.png,8.3212,-inf,inf
HARRIS,BRISK,0016.png,8.89867,6.33028,2.56839
HARRIS,BRISK,0017.png,11.0301,0,11.0301
HARRIS,BRISK,0018.png,8.53557,-inf,inf
HARRIS,BRIEF,0001.png,12.2891,8.81335,3.47575
HARRIS,BRIEF,0002.png,13.3547,11.0081,2.34658
HARRIS,BRIEF,0003.png,16.3845,-11.4731,27.8576
HARRIS,BRIEF,0004.png,14.0764,12.629,1.44746
HARRIS,BRIEF,0005.png,12.7299,12.8795,0.149571
HARRIS,BRIEF,0006.png,13.7511,12.9945,0.756585
HARRIS,BRIEF,0007.png,13.7314,12.2,1.53143
HARRIS,BRIEF,0008.png,13.7901,12.9162,0.873915
HARRIS,BRIEF,0009.png,12.059,3.30058,8.75841
HARRIS,BRIEF,0010.png,11.8642,10.2931,1.57108
HARRIS,BRIEF,0011.png,11.9682,11.7414,0.226767
HARRIS,BRIEF,0012.png,9.88711,0,9.88711
HARRIS,BRIEF,0013.png,9.42504,13.3551,3.93001
HARRIS,BRIEF,0014.png,9.30215,7.72144,1.5807
HARRIS,BRIEF,0015.png,8.3212,-12.639,20.9602
HARRIS,BRIEF,0016.png,8.89867,6.33929,2.55938
HARRIS,BRIEF,0017.png,11.0301,12.5848,1.55473
HARRIS,BRIEF,0018.png,8.53557,25.6763,17.1407
HARRIS,ORB,0001.png,12.2891,10.9082,1.38088
HARRIS,ORB,0002.png,13.3547,10.586,2.76873
HARRIS,ORB,0003.png,16.3845,-11.4731,27.8576
HARRIS,ORB,0004.png,14.0764,12.629,1.44746
HARRIS,ORB,0005.png,12.7299,36.3547,23.6247
HARRIS,ORB,0006.png,13.7511,12.9945,0.756585
HARRIS,ORB,0007.png,13.7314,13.6036,0.127808
HARRIS,ORB,0008.png,13.7901,12.9162,0.873915
HARRIS,ORB,0009.png,12.059,0,12.059
HARRIS,ORB,0010.png,11.8642,-inf,inf
HARRIS,ORB,0011.png,11.9682,11.7414,0.226767
HARRIS,ORB,0012.png,9.88711,23.9071,14.02
HARRIS,ORB,0013.png,9.42504,13.4095,3.98446
HARRIS,ORB,0014.png,9.30215,5.85828,3.44387
HARRIS,ORB,0015.png,8.3212,-11.5218,19.843
HARRIS,ORB,0016.png,8.89867,6.65726,2.24141
HARRIS,ORB,0017.png,11.0301,12.5848,1.55473
HARRIS,ORB,0018.png,8.53557,-inf,inf
HARRIS,FREAK,0001.png,12.2891,8.75397,3.53513
HARRIS,FREAK,0002.png,13.3547,11.0081,2.34658
HARRIS,FREAK,0003.png,16.3845,0,16.3845
HARRIS,FREAK,0004.png,14.0764,12.629,1.44746
HARRIS,FREAK,0005.png,12.7299,13.6432,0.91326
HARRIS,FREAK,0006.png,13.7511,13.5907,0.160364
HARRIS,FREAK,0007.png,13.7314,12.2792,1.4522
HARRIS,FREAK,0008.png,13.7901,12.3725,1.41758
HARRIS,FREAK,0009.png,12.059,0,12.059
HARRIS,FREAK,0010.png,11.8642,10.2931,1.57108
HARRIS,FREAK,0011.png,11.9682,11.4377,0.530514
HARRIS,FREAK,0012.png,9.88711,10.1015,0.214412
HARRIS,FREAK,0013.png,9.42504,13.4095,3.98446
HARRIS,FREAK,0014.png,9.30215,12.4394,3.13721
HARRIS,FREAK,0015.png,8.3212,-inf,inf
HARRIS,FREAK,0016.png,8.89867,5.57138,3.3273
HARRIS,FREAK,0017.png,11.0301,0,11.0301
HARRIS,FREAK,0018.png,8.53557,0,8.53557
HARRIS,SIFT,0001.png,12.2891,8.69538,3.59372
HARRIS,SIFT,0002.png,13.3547,11.0081,2.34658
HARRIS,SIFT,0003.png,16.3845,-11.4731,27.8576
HARRIS,SIFT,0004.png,14.0764,12.629,1.44746
HARRIS,SIFT,0005.png,12.7299,37.3809,24.651
HARRIS,SIFT,0006.png,13.7511,12.9945,0.756585
HARRIS,SIFT,0007.png,13.7314,14.2744,0.54297
HARRIS,SIFT,0008.png,13.7901,13.5704,0.21971
HARRIS,SIFT,0009.png,12.059,3.30058,8.75841
HARRIS,SIFT,0010.png,11.8642,0,11.8642
HARRIS,SIFT,0011.png,11.9682,0,11.9682
HARRIS,SIFT,0012.png,9.88711,0,9.88711
HARRIS,SIFT,0013.png,9.42504,13.4327,4.00769
HARRIS,SIFT,0014.png,9.30215,0,9.30215
HARRIS,SIFT,0015.png,8.3212,0,8.3212
HARRIS,SIFT,0016.png,8.89867,6.60338,2.29529
HARRIS,SIFT,0017.png,11.0301,12.7384,1.70832
HARRIS,SIFT,0018.png,8.53557,-inf,inf
FAST,BRISK,0001.png,12.2891,12.5073,0.218191
FAST,BRISK,0002.png,13.3547,12.7571,0.597635
FAST,BRISK,0003.png,16.3845,16.2001,0.184384
FAST,BRISK,0004.png,14.0764,12.7922,1.28425
FAST,BRISK,0005.png,12.7299,20.9709,8.24094
FAST,BRISK,0006.png,13.7511,12.499,1.25204
FAST,BRISK,0007.png,13.7314,12.1033,1.62814
FAST,BRISK,0008.png,13.7901,11.9236,1.86657
FAST,BRISK,0009.png,12.059,12.9845,0.925508
FAST,BRISK,0010.png,11.8642,12.9335,1.06934
FAST,BRISK,0011.png,11.9682,12.3837,0.415479
FAST,BRISK,0012.png,9.88711,11.4269,1.53976
FAST,BRISK,0013.png,9.42504,12.3306,2.90552
FAST,BRISK,0014.png,9.30215,11.7066,2.40441
FAST,BRISK,0015.png,8.3212,12.0753,3.75413
FAST,BRISK,0016.png,8.89867,11.9106,3.01194
FAST,BRISK,0017.png,11.0301,7.95298,3.07714
FAST,BRISK,0018.png,8.53557,12.2236,3.68805
FAST,BRIEF,0001.png,12.2891,10.3507,1.93837
FAST,BRIEF,0002.png,13.3547,12.2294,1.12534
FAST,BRIEF,0003.png,16.3845,13.165,3.21949
FAST,BRIEF,0004.png,14.0764,13.0008,1.07568
FAST,BRIEF,0005.png,12.7299,26.1599,13.43
FAST,BRIEF,0006.png,13.7511,12.1823,1.56877
FAST,BRIEF,0007.png,13.7314,10.8041,2.92729
FAST,BRIEF,0008.png,13.7901,11.8219,1.96822
FAST,BRIEF,0009.png,12.059,13.0287,0.969663
FAST,BRIEF,0010.png,11.8642,13.3376,1.47346
FAST,BRIEF,0011.png,11.9682,14.2702,2.30198
FAST,BRIEF,0012.png,9.88711,11.5615,1.67441
FAST,BRIEF,0013.png,9.42504,12.4311,3.00606
FAST,BRIEF,0014.png,9.30215,10.943,1.64089
FAST,BRIEF,0015.png,8.3212,11.4113,3.09009
FAST,BRIEF,0016.png,8.89867,12.1996,3.30092
FAST,BRIEF,0017.png,11.0301,10.1848,0.845309
FAST,BRIEF,0018.png,8.53557,11.5571,3.02155
FAST,ORB,0001.png,12.2891,11.0575,1.2316
FAST,ORB,0002.png,13.3547,12.2644,1.09029
FAST,ORB,0003.png,16.3845,13.2483,3.13615
FAST,ORB,0004.png,14.0764,12.3607,1.71572
FAST,ORB,0005.png,12.7299,20.9149,8.18498
FAST,ORB,0006.png,13.7511,12.56,1.19107
FAST,ORB,0007.png,13.7314,11.4707,2.26069
FAST,ORB,0008.png,13.7901,11.1934,2.5967
FAST,ORB,0009.png,12.059,12.9309,0.871868
FAST,ORB,0010.png,11.8642,12.5797,0.715497
FAST,ORB,0011.png,11.9682,12.664,0.695836
FAST,ORB,0012.png,9.88711,12.3725,2.48543
FAST,ORB,0013.png,9.42504,12.521,3.09596
FAST,ORB,0014.png,9.30215,11.8781,2.57597
FAST,ORB,0015.png,8.3212,11.4179,3.0967
FAST,ORB,0016.png,8.89867,11.8398,2.94117
FAST,ORB,0017.png,11.0301,9.82934,1.20078
FAST,ORB,0018.png,8.53557,11.8703,3.33474
FAST,FREAK,0001.png,12.2891,12.5,0.2109
FAST,FREAK,0002.png,13.3547,12.6977,0.657048
FAST,FREAK,0003.png,16.3845,16.3163,0.068174
FAST,FREAK,0004.png,14.0764,13.8876,0.188822
FAST,FREAK,0005.png,12.7299,15.1205,2.39056
FAST,FREAK,0006.png,13.7511,12.3469,1.40414
FAST,FREAK,0007.png,13.7314,12.1961,1.53532
FAST,FREAK,0008.png,13.7901,12.0847,1.7054
FAST,FREAK,0009.png,12.059,11.9735,0.0854811
FAST,FREAK,0010.png,11.8642,12.5685,0.704362
FAST,FREAK,0011.png,11.9682,12.9826,1.01442
FAST,FREAK,0012.png,9.88711,11.5035,1.61635
FAST,FREAK,0013.png,9.42504,12.466,3.04093
FAST,FREAK,0014.png,9.30215,11.0976,1.79547
FAST,FREAK,0015.png,8.3212,10.7712,2.44998
FAST,FREAK,0016.png,8.89867,12.305,3.40635
FAST,FREAK,0017.png,11.0301,7.88153,3.14858
FAST,FREAK,0018.png,8.53557,11.6293,3.09369
FAST,SIFT,0001.png,12.2891,11.9004,0.388651
FAST,SIFT,0002.png,13.3547,12.093,1.26176
FAST,SIFT,0003.png,16.3845,15.6402,0.744236
FAST,SIFT,0004.png,14.0764,13.9293,0.14716
FAST,SIFT,0005.png,12.7299,27.3695,14.6396
FAST,SIFT,0006.png,13.7511,12.8447,0.90642
FAST,SIFT,0007.png,13.7314,11.712,2.01942
FAST,SIFT,0008.png,13.7901,12.0734,1.7167
FAST,SIFT,0009.png,12.059,12.3427,0.283691
FAST,SIFT,0010.png,11.8642,13.0515,1.18727
FAST,SIFT,0011.png,11.9682,13.5011,1.53295
FAST,SIFT,0012.png,9.88711,11.9836,2.09644
FAST,SIFT,0013.png,9.42504,12.534,3.10897
FAST,SIFT,0014.png,9.30215,11.5024,2.20029
FAST,SIFT,0015.png,8.3212,11.3228,3.00159
FAST,SIFT,0016.png,8.89867,12.1318,3.2331
FAST,SIFT,0017.png,11.0301,11.0443,0.0142312
FAST,SIFT,0018.png,8.53557,11.7522,3.21664
BRISK,BRISK,0001.png,12.2891,12.8119,0.522826
BRISK,BRISK,0002.png,13.3547,16.6541,3.29939
BRISK,BRISK,0003.png,16.3845,12.1071,4.27737
BRISK,BRISK,0004.png,14.0764,13.3795,0.69697
BRISK,BRISK,0005.png,12.7299,27.8538,15.1238
BRISK,BRISK,0006.png,13.7511,14.8365,1.08541
BRISK,BRISK,0007.png,13.7314,14.9323,1.20089
BRISK,BRISK,0008.png,13.7901,15.6786,1.88844
BRISK,BRISK,0009.png,12.059,14.6649,2.60591
BRISK,BRISK,0010.png,11.8642,11.2426,0.621572
BRISK,BRISK,0011.png,11.9682,12.0625,0.0943022
BRISK,BRISK,0012.png,9.88711,11.0775,1.19038
BRISK,BRISK,0013.png,9.42504,11.4679,2.04289
BRISK,BRISK,0014.png,9.30215,11.6488,2.34667
BRISK,BRISK,0015.png,8.3212,11.7799,3.45873
BRISK,BRISK,0016.png,8.89867,10.7694,1.87072
