Detector Type,Descriptor Type,Execution Time,Image
FAST,SIFT,1172.18,0005.png
FAST,SIFT,1150.66,0006.png
FAST,SIFT,1112.21,0007.png
FAST,SIFT,1131.21,0008.png
FAST,SIFT,1132.89,0009.png
sum/avg,,11457.58,1145.76
BRISK,BRISK,1765.41,0000.png
BRISK,BRISK,1740.16,0001.png
BRISK,BRISK,1732.61,0002.png
BRISK,BRISK,1730.64,0003.png
BRISK,BRISK,1735.83,0004.png
BRISK,BRISK,1730.04,0005.png
BRISK,BRISK,1725.22,0006.png
BRISK,BRISK,1718.13,0007.png
BRISK,BRISK,1724.88,0008.png
BRISK,BRISK,1734.02,0009.png
sum/avg,,17336.94,1733.69
BRISK,BRIEF,980.848,0000.png
BRISK,BRIEF,947.332,0001.png
BRISK,BRIEF,945.957,0002.png
BRISK,BRIEF,941.767,0003.png
BRISK,BRIEF,947.749,0004.png
BRISK,BRIEF,942.577,0005.png
BRISK,BRIEF,939.47,0006.png
BRISK,BRIEF,939.468,0007.png
BRISK,BRIEF,943.278,0008.png
BRISK,BRIEF,938.744,0009.png
sum/avg,,9467.19,946.72
BRISK,ORB,1183.82,0000.png
BRISK,ORB,1127.41,0001.png
BRISK,ORB,1127.09,0002.png
BRISK,ORB,1121.65,0003.png
BRISK,ORB,1130.1,0004.png
BRISK,ORB,1120.41,0005.png
BRISK,ORB,1122.72,0006.png
BRISK,ORB,1120.26,0007.png
BRISK,ORB,1113.78,0008.png
BRISK,ORB,1118.33,0009.png
sum/avg,,11285.57,1128.56
BRISK,FREAK,1107.56,0000.png
BRISK,FREAK,1067.58,0001.png
BRISK,FREAK,1063.78,0002.png
BRISK,FREAK,1059.92,0003.png
BRISK,FREAK,1060.98,0004.png
BRISK,FREAK,1066.62,0005.png
BRISK,FREAK,1058.55,0006.png
BRISK,FREAK,1065.21,0007.png
BRISK,FREAK,1061.29,0008.png
BRISK,FREAK,1054.98,0009.png
sum/avg,,10666.47,1066.65
BRISK,SIFT,3259.98,0000.png
BRISK,SIFT,3187.13,0001.png
BRISK,SIFT,3227.41,0002.png
BRISK,SIFT,3169.88,0003.png
BRISK,SIFT,3204.06,0004.png
BRISK,SIFT,3169.38,0005.png
BRISK,SIFT,3190.22,0006.png
BRISK,SIFT,3121.28,0007.png
BRISK,SIFT,3151.86,0008.png
BRISK,SIFT,3149.12,0009.png
sum/avg,,31830.32,3183.03
ORB,BRISK,2394.2,0000.png
ORB,BRISK,936.533,0001.png
ORB,BRISK,937.108,0002.png
ORB,BRISK,933.767,0003.png
ORB,BRISK,937.661,0004.png
ORB,BRISK,941.9,0005.png
ORB,BRISK,936.831,0006.png
ORB,BRISK,941.559,0007.png
ORB,BRISK,944.427,0008.png
ORB,BRISK,950.697,0009.png
sum/avg,,10854.683,1085.47
ORB,BRIEF,322.106,0000.png
ORB,BRIEF,197.516,0001.png
ORB,BRIEF,200.747,0002.png
ORB,BRIEF,198.852,0003.png
ORB,BRIEF,196.691,0004.png
ORB,BRIEF,201.488,0005.png
ORB,BRIEF,202.301,0006.png
ORB,BRIEF,200.948,0007.png
ORB,BRIEF,204.718,0008.png
ORB,BRIEF,202.846,0009.png
sum/avg,,2128.213,212.82
ORB,ORB,496.458,0000.png
ORB,ORB,416.671,0001.png
ORB,ORB,398.933,0002.png
ORB,ORB,399.16,0003.png
ORB,ORB,396.327,0004.png
ORB,ORB,397.467,0005.png
ORB,ORB,405.677,0006.png
ORB,ORB,400.792,0007.png
ORB,ORB,401.809,0008.png
ORB,ORB,401.492,0009.png
sum/avg,,4114.786,411.48
ORB,FREAK,397.069,0000.png
ORB,FREAK,295.79,0001.png
ORB,FREAK,285.126,0002.png
ORB,FREAK,291.862,0003.png
ORB,FREAK,286.534,0004.png
ORB,FREAK,292.741,0005.png
ORB,FREAK,295.27,0006.png
ORB,FREAK,295.363,0007.png
ORB,FREAK,297.777,0008.png
ORB,FREAK,301.786,0009.png
sum/avg,,3039.318,303.93
ORB,SIFT,1842.32,0000.png
ORB,SIFT,1728.57,0001.png
ORB,SIFT,1738.96,0002.png
ORB,SIFT,1747.68,0003.png
ORB,SIFT,1756.93,0004.png
